Text Files,Data Files,Audio Files,Video Files,eBook Files,3D Images,Raster Images,Vector Images,Camera Raw Image,Page Layouts,Spreadsheet Files,Database Files,Executable Files,Game Files,CAD Files,GIS Files,Web Files,Plugin Files,Font Files,System Files,Settings Files,Encoded Files,Compressed Files,Disk Images,Developer Files,Backup Files,Misc Files
.doc,.csv,.aif,.asf,.ibooks,.obj,.bmp,.ai,.dng,.indd,.xls,.db,.bat,.gam,.dwg,.kml,.asp,.plugin,.fnt,.dll,.ini,.hqx,.gz,.dmg,.pl,.bak,.msi
.log,.dat,.m4a,.avi,.azw,.3ds,.gif,.eps,.rw2,.pct,.xlsx,.mdb,.cgi,.nes,.dxf,.kmz,.aspx,.crx,.fon,.ico,.cfg,.mim,.rar,.vcd,.cpp,.tmp,.ics
.rtf,.pps,.mid,.mp4,.epub,.3dm,.jpg,.svg,.arw,.pdf,.xlr,.sql,.exe,.dem,.idw,.gpx,.cer,.xll,.ttf,.lnk,.prf,.uue,.zip,.iso,.vb,.old,.torrent
.txt,.ppt,.mp3,.mpg,.mobi,.max,.png,.ps,.srf,.dot,.gsheet,.dbf,.jar,.sav,.tcw,.ov2,.css,.xpi,.otf,.drv,.zap,.enc,.cbr,.cue,.c,.bkp,.part
.wpd,.tar,.wav,.mov,.azw1,.shp,.psd,.vsd,.nef,.mdi,.tmv,.pdb,.com,.rom,.dgn,.shp,.htm,.bundle,.woff2,.sys,.inf,.asc,.pkg,.mdf,.java,.nbk,.crdownload
.msg,.xml,.wma,.rm,.lrf,.blend,.tiff,.cdr,.cr2,.pmd,.qpw,.accdb,.app,.b,.catpart,.mxd,.html,.avx,.woff,.cab,.mst,.locky,.7z,.toast,.fla,.gho,.dbx
.wps,.ged,.iff,.swf,.tpz,.ma,.tga,.cgm,.bay,.pub,.xltx,.adp,.wsf,.n64,.pln,.gml,.js,.arx,.gdr,.cur,.plist,.odin,.sitx,.bin,.h,.bup,.key
.tex,.vcf,.m3u,.wmv,.acsm,.vue,.tif,.drw,.3fr,.qxp,.ods,.tps,.gadget,.smc,.iam,.saf,.php,.plugin,.pfr,.cpl,.rdf,.ykcol,.deb,.img,.class,.001,.lic
.odt,.key,.mpa,.vob,.lit,.br5,.dds,.emf,.rwl,.fm,.xltm,.fp7,.apk,.gba,.ipt,.sdf,.jsp,.acroplugin,.compositefont,.dmp,.prx,.krab,.rpm,.nrg,.py,.nbu,.sis
.pages,.pptx,.dss,.flv,.azw3,.skp,.thm,.xar,.srw,.dotx,.xlsb,.pdb,.vbs,.vtf,.vwx,.dt1,.cfm,.vbox-extpack,.sfd,.icns,.csf,.gdcb,.zipx,.ccd,.dtd,.asd,.mso
.docx,.tax2016,.midi,.srt,.prc,.sdb,.pspimage,.emz,.cxi,.inx,.nb,.mdf,.cmd,.tor,.sat,.mwx,.xhtml,.mox,.fot,.deskthemepack,.psf,.bin,.tar.gz,.img,.xcodeproj,.fbw,.pgp
.sig,.tax2018,.ram,.3gp,.fb2,.stp,.yuv,.cvx,.fff,.ppp,.numbers,.frm,.prg,.bif,.stl,.nmf,.rss,.aaxplugin,.tfm,.hlp,.icc,.mime,.sit,.cdi,.lua,.tlg,.crd
.wpt,.sdf,.cda,.3g2,.kfx,.lws,.heic,.graffle,.rwz,.xps,.wks,.te,.ws,.pk3,.ckd,.pmf,.dcr,.vst3,.vfb,.swp,.rdp,.uu,.bz,.vhd,.sh,.nba,.opdownload
